Sum of runs_scored,Column Labels,,,,,,
Row Labels,1,2,Grand Total,,,,
548355,164,171,335,,,,2Won
548356,175,179,354,,,,2Won
548357,139,138,277,,,,1Won
548358,115,126,241,,,,1Won
548359,163,133,296,,,,2Won
548360,134,137,271,,,,1Won
548361,114,114,228,,,,1Won
548362,164,134,298,,,,2Won
548363,177,151,328,,,,1Won
548364,107,114,221,,,,1Won
548365,167,121,288,,,,2Won
548366,181,186,367,,,,2Won
548367,157,162,319,,,,1Won
548368,155,155,310,,,,1Won
548369,132,138,270,,,,1Won
548370,126,104,230,,,,1Won
548371,116,118,234,,,,1Won
548372,211,187,398,,,,2Won
548373,119,119,238,,,,1Won
548374,133,136,269,,,,2Won
548375,129,92,221,,,,1Won
548376,122,120,242,,,,1Won
548377,148,145,293,,,,2Won
548378,158,130,288,,,,1Won
548379,182,138,320,,,,1Won
548380,216,125,341,,,,1Won
548381,183,184,367,,,,1Won
597998,123,123,246,,,,1Won
597999,140,146,286,,,,2Won
598000,123,102,225,,,,1Won
598001,156,149,305,,,,2Won
598002,139,132,271,,,,1Won
598003,96,97,193,,,,1Won
598004,122,114,236,,,,2Won
598005,135,114,249,,,,1Won
598006,199,155,354,,,,2Won
598007,130,136,266,,,,1Won
598008,148,148,296,,,,2Won
598009,138,142,280,,,,1Won
598010,107,112,219,,,,1Won
598011,180,137,317,,,,2Won
598012,157,158,315,,,,1Won
598013,172,120,292,,,,1Won
598014,114,117,231,,,,1Won
598015,151,133,284,,,,2Won
598016,151,141,292,,,,1Won
598017,147,148,295,,,,1Won
598018,114,108,222,,,,1Won
598019,164,85,249,,,,1Won
598020,160,79,239,,,,1Won
598021,116,121,237,,,,1Won
598022,115,118,233,,,,2Won
598023,117,107,224,,,,1Won
598024,158,161,319,,,,2Won
598025,177,183,360,,,,2Won
598026,175,179,354,,,,2Won
598027,252,129,381,,,,1Won
598028,162,151,313,,,,1Won
598029,153,158,311,,,,1Won
598030,151,154,305,,,,2Won
598031,144,138,282,,,,1Won
598032,133,144,277,,,,2Won
598033,185,125,310,,,,1Won
598034,197,166,363,,,,1Won
598035,150,143,293,,,,1Won
598036,161,168,329,,,,2Won
598037,166,157,323,,,,1Won
598038,160,121,281,,,,1Won
598039,122,127,249,,,,1Won
598040,129,135,264,,,,2Won
598041,183,168,351,,,,2Won
598042,175,164,339,,,,1Won
598043,125,123,248,,,,1Won
598044,74,78,152,,,,1Won
598045,167,168,335,,,,2Won
598046,135,70,205,,,,1Won
598047,167,179,346,,,,2Won
598048,156,157,313,,,,1Won
598049,147,144,291,,,,1Won
598050,159,96,255,,,,1Won
598051,213,142,355,,,,1Won
598052,136,141,277,,,,1Won
598053,141,102,243,,,,1Won
598054,178,168,346,,,,2Won
598055,108,112,220,,,,1Won
598056,146,112,258,,,,2Won
598057,112,111,223,,,,1Won
598058,133,143,276,,,,2Won
598059,113,115,228,,,,1Won
598060,171,177,348,,,,2Won
598061,169,148,317,,,,1Won
598062,158,126,284,,,,1Won
598063,159,136,295,,,,1Won
598064,180,183,363,,,,2Won
598065,121,107,228,,,,1Won
598066,176,124,300,,,,2Won
598067,167,118,285,,,,1Won
598068,101,80,181,,,,1Won
598069,116,123,239,,,,2Won
598070,191,139,330,,,,2Won
598071,126,131,257,,,,1Won
598072,151,159,310,,,,2Won
598073,143,116,259,,,,1Won
729279,155,117,272,,,,1Won
729281,135,142,277,,,,1Won
729283,191,200,391,,,,2Won
729285,118,130,248,,,,1Won
729287,103,114,217,,,,1Won
729289,152,156,308,,,,2Won
729291,185,184,369,,,,2Won
729293,171,82,253,,,,1Won
729295,184,113,297,,,,1Won
729297,127,131,258,,,,1Won
729299,143,140,283,,,,2Won
729301,179,174,353,,,,2Won
729303,140,135,275,,,,1Won
729305,66,68,134,,,,1Won
729307,127,99,226,,,,2Won
729309,114,117,231,,,,1Won
729311,129,142,271,,,,2Won
729313,114,115,229,,,,1Won
729315,147,141,288,,,,2Won
729317,154,148,302,,,,2Won
733971,142,110,252,,,,1Won
733973,155,164,319,,,,2Won
733975,148,152,300,,,,1Won
733977,145,153,298,,,,2Won
733979,163,150,313,,,,2Won
733981,167,170,337,,,,2Won
733983,162,158,320,,,,1Won
733985,152,149,301,,,,1Won
733987,221,183,404,,,,2Won
733989,122,92,214,,,,1Won
733991,183,160,343,,,,2Won
733993,138,33,171,,,,1Won
733995,152,149,301,,,,2Won
733997,145,145,290,,,,1Won
733999,183,184,367,,,,2Won
734001,151,157,308,,,,1Won
734003,136,141,277,,,,1Won
734005,177,160,337,,,,2Won
734007,190,207,397,,,,2Won
734009,134,137,271,,,,1Won
734011,186,130,316,,,,1Won
734013,132,129,261,,,,1Won
734015,132,145,277,,,,2Won
734017,172,145,317,,,,2Won
734019,159,150,309,,,,1Won
734021,153,154,307,,,,1Won
734023,151,152,303,,,,1Won
734025,148,149,297,,,,1Won
734027,188,155,343,,,,2Won
734029,177,184,361,,,,1Won
734031,164,152,316,,,,1Won
734033,165,156,321,,,,1Won
734035,148,155,303,,,,1Won
734037,139,156,295,,,,2Won
734039,108,104,212,,,,1Won
734041,184,188,372,,,,2Won
734043,156,130,286,,,,1Won
734045,171,167,338,,,,2Won
734047,215,186,401,,,,2Won
734049,191,194,385,,,,1Won
829705,165,166,331,,,,1Won
829707,136,144,280,,,,1Won
829709,141,127,268,,,,1Won
829711,194,153,347,,,,2Won
829713,171,171,342,,,,1Won
829715,175,180,355,,,,2Won
829717,171,151,322,,,,1Won
829719,150,156,306,,,,1Won
829721,159,161,320,,,,2Won
829723,145,159,304,,,,2Won
829725,157,158,315,,,,2Won
829727,121,124,245,,,,1Won
829729,176,178,354,,,,2Won
829731,158,159,317,,,,1Won
829733,142,157,299,,,,1Won
829735,150,156,306,,,,2Won
829737,192,175,367,,,,2Won
829739,133,140,273,,,,1Won
829741,181,186,367,,,,2Won
829743,172,98,270,,,,1Won
829745,171,148,319,,,,1Won
829747,182,142,324,,,,1Won
829749,126,129,255,,,,1Won
829751,147,132,279,,,,2Won
829753,180,87,267,,,,1Won
829757,87,97,184,,,,1Won
829759,149,123,272,,,,2Won
829761,159,151,310,,,,2Won
829763,184,,184,,,,1Won
829765,122,127,249,,,,1Won
829767,110,111,221,,,,1Won
829769,178,167,345,,,,2Won
829771,103,111,214,,,,1Won
829773,187,163,350,,,,2Won
829775,167,137,304,,,,1Won
829777,181,160,341,,,,1Won
829779,143,122,265,,,,1Won
829781,160,128,288,,,,1Won
829783,148,144,292,,,,1Won
829785,215,79,294,,,,1Won
829787,186,187,373,,,,1Won
829789,152,157,309,,,,1Won
829791,174,177,351,,,,2Won
829793,159,153,312,,,,1Won
829795,228,192,420,,,,2Won
829797,149,139,288,,,,1Won
829799,180,173,353,,,,2Won
829801,112,120,232,,,,1Won
829803,102,76,178,,,,1Won
829805,161,158,319,,,,2Won
829807,128,82,210,,,,1Won
829809,121,128,249,,,,2Won
829811,189,164,353,,,,2Won
829813,181,2,183,,,,1Won
829815,107,106,213,,,,1Won
829817,178,154,332,,,,2Won
829819,168,106,274,,,,1Won
829821,132,133,265,,,,1Won
829823,196,154,350,,,,2Won
980901,108,121,229,,,,1Won
980903,86,88,174,,,,1Won
980905,154,156,310,,,,2Won
980907,220,171,391,,,,2Won
980909,177,178,355,,,,1Won
980911,161,149,310,,,,1Won
980913,107,103,210,,,,1Won
980915,134,141,275,,,,2Won
980917,133,136,269,,,,2Won
980919,141,151,292,,,,2Won
980921,182,178,360,,,,2Won
980923,134,140,274,,,,1Won
980925,131,133,264,,,,1Won
980927,157,167,324,,,,2Won
980929,130,127,257,,,,1Won
980931,173,165,338,,,,2Won
980933,152,151,303,,,,1Won
980935,138,141,279,,,,1Won
980937,177,168,345,,,,2Won
980939,154,152,306,,,,1Won
980941,184,159,343,,,,2Won
980943,110,81,191,,,,1Won
980945,169,168,337,,,,2Won
980947,173,173,346,,,,2Won
980949,188,189,377,,,,2Won
980951,176,146,322,,,,1Won
980953,189,176,365,,,,2Won
980955,150,127,277,,,,1Won
980957,151,155,306,,,,2Won
980959,181,170,351,,,,2Won
980961,143,147,290,,,,1Won
980963,159,145,304,,,,2Won
980965,154,155,309,,,,1Won
980967,121,123,244,,,,1Won
980969,184,189,373,,,,2Won
980971,173,163,336,,,,1Won
980973,172,86,258,,,,1Won
980975,152,159,311,,,,1Won
980977,171,169,340,,,,2Won
980979,132,130,262,,,,1Won
980981,144,143,287,,,,2Won
980983,135,147,282,,,,2Won
980985,116,116,232,,,,1Won
980987,244,92,336,,,,1Won
980989,97,56,153,,,,1Won
980991,176,171,347,,,,2Won
980993,199,123,322,,,,1Won
980995,171,183,354,,,,1Won
980997,119,69,188,,,,1Won
980999,203,114,317,,,,1Won
981001,117,108,225,,,,1Won
981003,155,147,302,,,,2Won
981005,168,165,333,,,,2Won
981007,164,167,331,,,,1Won
981009,167,138,305,,,,1Won
981011,132,129,261,,,,1Won
981013,147,143,290,,,,2Won
981015,156,131,287,,,,1Won
981017,157,161,318,,,,2Won
981019,194,191,385,,,,2Won
1082591,200,166,366,,,,1Won
1082592,176,183,359,,,,1Won
1082593,179,169,348,,,,1Won
1082594,157,154,311,,,,1Won
1082595,151,137,288,,,,1Won
1082596,132,137,269,,,,1Won
1082597,169,168,337,,,,2Won
1082598,144,144,288,,,,1Won
1082599,197,103,300,,,,1Won
1082600,147,155,302,,,,1Won
1082601,154,160,314,,,,2Won
1082602,131,132,263,,,,1Won
1082603,166,167,333,,,,2Won
1082604,161,148,309,,,,1Won
1082605,178,135,313,,,,1Won
1082606,165,164,329,,,,1Won
1082607,148,126,274,,,,1Won
1082608,165,158,323,,,,2Won
1082609,148,144,292,,,,1Won
1082610,209,184,393,,,,2Won
1082611,187,169,356,,,,1Won
1082612,186,191,377,,,,2Won
1082613,184,183,367,,,,1Won
1082614,126,120,246,,,,1Won
1082615,168,176,344,,,,2Won
1082616,183,155,338,,,,1Won
1082617,123,42,165,,,,1Won
1082618,156,151,307,,,,2Won
1082620,175,171,346,,,,2Won
1082621,122,127,249,,,,1Won
1082622,153,151,304,,,,2Won
1082623,204,176,380,,,,2Won
1082624,153,92,245,,,,1Won
1082625,142,152,294,,,,1Won
1082626,62,66,128,,,,1Won
1082627,201,156,357,,,,2Won
1082628,158,158,316,,,,1Won
1082629,154,160,314,,,,2Won
1082630,177,186,363,,,,2Won
1082631,150,150,300,,,,1Won
1082632,203,202,405,,,,2Won
1082633,126,112,238,,,,1Won
1082634,141,134,275,,,,2Won
1082635,193,63,256,,,,1Won
1082636,155,153,308,,,,1Won
1082637,186,186,372,,,,2Won
1082638,128,136,264,,,,1Won
1082639,155,149,304,,,,2Won
1082640,184,194,378,,,,2Won
1082641,220,215,435,,,,2Won
1082642,161,151,312,,,,1Won
